@relation kredyty

@attribute status_pozyczki {splacona, splacona_cz, windykacja, windykacja_sp, odmowa}
@attribute kwota real
@attribute wiek real
@attribute plec {K, M}
@attribute rodzaj_zrodla_dochodu {11, 12, 13, 14, 15, 16, 17, 98, 99}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie {0, 1, 2, 3}
@attribute okres_w_ktorym_pobieral_dochod real
@attribute okres_w_jakim_bedzie_pobieral_dochod real
@attribute opoznienie_splaty real

@data
splacona,300,56,K,98,980,0,2,48,0
windykacja,1000,28,K,11,2300,0,15,48,1878
splacona_cz,1000,77,K,13,3100,0,202,48,0
splacona_cz,200,50,M,11,1300,0,3,48,0
splacona_cz,1000,48,K,12,2127.68,0,6,17,3
windykacja,400,38,K,17,671,0,12,25,1876
splacona,1000,37,K,99,2100,0,5,7,30
splacona_cz,400,59,K,13,1100,0,35,48,0
splacona_cz,200,31,K,12,980,0,2,4,6
windykacja,200,19,K,11,700,0,1,48,1876
windykacja_sp,400,43,K,12,1100,0,46,48,615
splacona_cz,400,74,K,13,1026,0,239,48,0
splacona_cz,600,57,K,11,2200,0,461,48,23
splacona,600,55,K,12,1350,0,14,26,0
splacona,500,46,K,12,1669,0,29,48,15
splacona_cz,300,38,K,99,2800,0,2,8,0
windykacja_sp,1000,50,K,13,1635,0,107,48,218
splacona_cz,1000,35,K,98,4000,0,11,48,1
windykacja_sp,1000,37,K,11,2100,0,123,48,237
splacona_cz,200,66,K,13,910,0,62,48,1
splacona_cz,1000,73,K,13,2100,0,47,48,0
splacona,800,61,M,11,4343.87,0,94,48,148
splacona_cz,800,45,M,12,3500,0,179,48,0
splacona,500,64,M,13,1530,0,27,48,6
splacona_cz,400,25,K,17,1200,0,157,48,1
windykacja_sp,600,74,K,13,1900,0,67,48,539
splacona,2000,48,M,11,2353,0,91,48,1
splacona,500,38,K,11,2400,0,101,48,475
splacona_cz,600,50,M,11,1800,0,3,48,4
splacona_cz,500,31,M,99,1700,0,25,27,0
splacona,800,51,M,11,1400,0,312,48,168
splacona_cz,226.02,65,K,16,892,0,193,48,5
splacona,200,71,M,13,1450,0,135,48,0
splacona_cz,300,59,M,16,726,0,225,48,4
splacona_cz,300,62,K,13,714,0,214,48,0
splacona_cz,300,49,M,13,3900,0,22,48,0
splacona_cz,200,50,M,16,1045,0,191,48,12
splacona_cz,300,54,K,12,1700,0,47,48,0
splacona_cz,500,51,K,11,1700,0,298,48,20
splacona_cz,600,62,K,13,1754,0,88,48,17
splacona_cz,200,24,M,12,1000,0,4,26,0
windykacja,300,62,M,11,1700,0,10,48,1871
windykacja,1000,44,M,12,2455,0,13,25,1871
splacona,200,62,K,13,1065,0,14,48,0
splacona,200,60,K,13,624,0,61,48,0
splacona_cz,200,57,M,13,440,0,63,48,0
splacona,300,53,K,11,1300,0,26,48,3
splacona,200,47,K,12,1000,0,11,14,0
splacona_cz,500,22,K,11,1600,0,0,48,0
splacona_cz,300,50,K,12,1000,0,24,31,0
splacona,500,38,K,11,2400,0,101,48,491
splacona_cz,400,28,M,12,900,0,10,22,21
splacona_cz,600,51,K,11,3200,0,46,48,0
splacona_cz,1000,63,K,13,860,0,72,48,7
splacona_cz,300,56,K,11,1600,0,370,48,3
splacona,600,74,K,13,1373,0,102,48,0
splacona,400,32,K,12,1000,0,2,4,0
windykacja,400,57,K,12,1200,0,3,5,1869
splacona_cz,600,61,M,13,1500,0,15,48,0
splacona_cz,400,36,K,12,1500,0,13,26,0
splacona_cz,200,57,K,13,782,0,184,48,14
splacona_cz,500,68,K,13,1017,0,153,48,0
windykacja,200,18,K,99,1500,0,1,9,1869
splacona_cz,1000,40,K,11,2505,0,156,48,15
splacona_cz,744,35,M,11,2684,0,96,48,1
splacona,400,39,K,12,1200,0,5,6,8
splacona_cz,1033.72,50,K,98,2880,0,20,48,16
splacona_cz,500,27,M,12,1000,0,8,43,0
windykacja,600,32,M,12,1000,0,0,11,1868
splacona_cz,500,36,M,11,2500,0,147,48,1
windykacja,500,26,K,11,2100,0,4,48,1868
splacona_cz,500,60,K,13,1100,0,14,48,7
splacona_cz,800,62,K,13,3700,0,19,48,0
splacona,400,50,M,11,2400,0,244,48,1
splacona,400,70,M,13,1420,0,45,48,0
splacona_cz,600,29,M,12,1800,0,0,3,0
splacona_cz,600,60,K,13,1149,0,73,48,19
splacona,300,54,K,11,1300,0,60,48,0
windykacja,400,35,M,11,1500,0,16,48,1867
windykacja,400,38,K,12,1000,0,13,37,1866
splacona,300,49,K,11,2450,0,107,48,3
splacona,300,35,M,12,1500,0,25,37,0
splacona_cz,700,56,K,13,580,0,111,48,2
splacona,300,66,K,13,919,0,133,48,0
splacona_cz,200,47,M,12,600,0,1,4,0
splacona_cz,600,47,K,98,2200,0,17,48,0
splacona,300,35,K,12,1200,0,3,13,168
splacona_cz,400,68,K,16,980,0,123,48,3
splacona_cz,500,71,K,13,1668,0,189,48,3
splacona,500,30,M,12,2547,0,9,11,0
splacona_cz,400,58,M,11,1510,0,158,48,0
splacona,700,61,K,13,1820,0,61,48,0
windykacja,800,47,K,11,2100,0,59,48,1834
splacona_cz,200,45,M,12,670,0,1,13,0
splacona_cz,200,60,K,13,1635,0,112,48,0
splacona_cz,400,54,K,11,2800,0,52,48,2
splacona_cz,600,53,K,12,1500,0,1,3,8
splacona,200,72,K,13,930,0,231,48,0
splacona_cz,400,61,K,13,1052,0,65,48,0
splacona_cz,600,42,M,11,1700,0,244,48,0
windykacja,400,38,M,12,2000,0,1,4,1862
splacona,500,66,K,13,2100,0,57,48,0
splacona,300,40,K,12,660,0,5,39,0
splacona,200,38,M,12,1420,0,11,12,49
splacona,300,47,M,12,1400,0,15,25,284
splacona_cz,1000,36,K,11,1900,0,172,48,0
splacona_cz,250,69,K,13,1800,0,110,48,0
splacona_cz,300,50,K,98,570,0,21,48,0
splacona_cz,200,64,K,13,1434,0,84,48,0
splacona_cz,500,62,K,13,962,0,58,48,0
splacona_cz,500,29,K,12,1447,0,15,25,7
splacona_cz,500,32,K,13,3360,0,110,48,0
splacona_cz,500,47,M,11,2500,0,197,48,0
splacona,500,53,K,12,2000,0,2,27,6
splacona_cz,500,22,M,12,1800,0,10,13,0
splacona_cz,500,46,M,12,2500,0,2,3,0
splacona,200,74,K,13,606,0,219,48,556
windykacja,200,56,K,17,444,0,3,38,1859
windykacja,500,45,M,12,1000,0,2,7,1859
splacona,400,28,M,12,1900,0,5,21,0
splacona_cz,300,30,M,12,1600,0,3,14,6
splacona_cz,500,21,M,12,1200,0,2,19,10
windykacja,200,62,M,11,1700,0,11,48,1857
splacona,300,49,K,11,2800,0,312,48,0
splacona_cz,1000,43,M,13,4413,0,84,48,23
splacona_cz,200,58,M,17,485,0,136,48,5
splacona_cz,300,58,K,13,1240,0,63,48,5
splacona_cz,200,65,M,13,1611,0,134,48,0
splacona_cz,500,47,K,12,830.46,0,38,48,3
splacona_cz,300,56,K,11,1187.06,0,126,48,0
splacona_cz,500,66,K,13,650,0,66,48,1
splacona,200,53,K,16,655,0,24,48,4
splacona_cz,300,30,M,99,1500,0,4,6,3
splacona_cz,300,63,K,13,1100,0,98,48,0
splacona_cz,400,53,M,12,1917,0,37,40,2
splacona_cz,400,22,M,17,1896,0,27,35,0
splacona_cz,600,27,K,12,1300,0,3,3,1
splacona_cz,500,35,K,11,1065,0,52,48,0
splacona_cz,500,68,K,13,2120,0,112,48,0
odmowa,200,50,M,17,385,0,11,36,1855
splacona,300,71,M,13,1450,0,136,48,12
splacona_cz,1000,52,K,11,1638,0,307,48,21
splacona_cz,500,22,K,17,1456.9,0,4,10,0
splacona_cz,400,72,M,13,1700,0,7,48,0
splacona_cz,500,61,K,13,1362,0,49,48,4
splacona,400,55,K,12,1350,0,15,26,0
splacona_cz,200,75,K,13,616,0,239,48,1
splacona,1000,57,M,13,3600,0,79,48,0
splacona_cz,400,24,M,12,1387.31,0,3,11,0
splacona,1000,33,K,98,3500,0,28,48,0
splacona_cz,500,31,M,11,2700,0,8,48,3
splacona,400,35,M,12,1500,0,26,37,0
splacona_cz,900,33,K,11,2050,0,22,48,3
splacona,250,67,K,13,1391,0,240,48,0
splacona_cz,400,28,K,99,468,0,4,12,13
odmowa,500,63,M,11,984.2,0,399,48,1853
splacona_cz,250,57,M,13,600,0,148,48,4
splacona_cz,800,65,K,13,930,0,124,48,0
splacona_cz,600,36,M,11,2316.55,0,33,48,2
windykacja,700,29,K,11,2000,0,5,48,1852
splacona_cz,300,60,M,11,3000,0,205,48,0
splacona_cz,800,60,M,11,1000,0,56,48,4
splacona_cz,600,57,K,11,2200,0,462,48,0
splacona_cz,500,33,K,11,1400,0,94,48,5
windykacja,600,66,M,11,1850,0,6,48,1852
splacona_cz,500,60,K,13,1212,0,47,48,0
splacona,450,64,K,13,958.25,0,84,48,0
splacona_cz,1500,72,M,13,2612,0,75,48,3
splacona_cz,450,23,M,99,980,0,5,6,1
splacona_cz,300,62,K,13,1200.29,0,15,48,0
splacona,300,65,K,13,1175,0,108,48,1
splacona_cz,300,56,K,98,980,0,3,48,0
splacona_cz,300,38,K,99,2800,0,3,8,0
odmowa,300,44,M,12,1024.18,0,10,16,0
splacona_cz,700,42,M,11,2258,0,68,48,0
splacona_cz,1000,42,M,11,2875.71,0,271,48,0
splacona_cz,400,63,K,13,1668,0,84,48,0
splacona_cz,200,50,K,12,2000,0,28,48,0
windykacja_sp,700,37,K,11,1600,0,64,48,539
splacona_cz,1000,60,K,13,1149.62,0,63,48,0
splacona_cz,1500,77,K,13,3100,0,203,48,16
windykacja,500,70,K,13,867,0,61,48,1848
splacona_cz,500,58,K,17,684,0,183,48,0
splacona,500,27,M,11,1500,0,16,48,244
splacona,800,45,M,12,3500,0,180,48,0
odmowa,200,60,K,13,1000,0,102,48,0
splacona_cz,300,50,M,11,1300,0,4,48,0
splacona_cz,200,30,M,12,1065,0,7,13,7
splacona_cz,300,61,K,13,997,0,72,48,0
splacona_cz,450,68,M,13,2000,0,38,48,6
splacona_cz,400,64,K,13,1015,0,102,48,0
splacona,200,59,K,13,1100,0,36,48,0
splacona_cz,700,72,M,13,2802,0,240,48,0
splacona_cz,400,56,M,12,1600,0,28,48,0
splacona_cz,350,28,M,12,1800,0,4,8,0
splacona_cz,570.43,49,K,11,1764,0,57,48,2
windykacja,400,22,M,17,800,0,72,48,1847
windykacja,600,32,K,12,1000,0,3,4,1847
splacona,200,78,M,13,724.11,0,185,48,0
splacona_cz,500,50,M,16,755,0,12,48,0
splacona_cz,400,62,K,13,714,0,215,48,0
splacona_cz,400,74,K,13,1026,0,240,48,0
splacona_cz,600,57,K,11,2200,0,462,48,0
splacona_cz,200,73,K,13,1412,0,197,48,0
splacona,200,40,M,99,856,0,2,3,109
windykacja_sp,500,59,K,12,1600,0,13,22,577
splacona,300,64,K,13,1434,0,84,48,0
splacona_cz,700,32,M,11,2050,0,111,48,1
splacona_cz,250,38,M,12,1030,0,12,14,3
windykacja,1000,40,M,11,1830,0,61,48,1846
splacona_cz,500,49,K,11,1800,0,46,48,0
splacona_cz,993.23,35,K,98,4000,0,12,48,2
splacona_cz,200,47,K,11,770,0,96,48,0
splacona,1000,73,K,13,2100,0,48,48,0
splacona_cz,500,55,M,16,588,0,415,48,0
splacona_cz,200,57,K,16,703,0,19,48,0
windykacja_sp,500,45,M,11,2500,0,258,48,577
splacona_cz,700,58,K,13,1872,0,28,48,0
splacona_cz,300,49,M,13,3900,0,23,48,0
splacona_cz,800,55,K,13,3440,0,44,48,0
splacona_cz,500,62,K,13,1525.46,0,29,48,0
splacona_cz,1000,48,K,12,2127.68,0,7,17,13
windykacja,700,31,M,99,1700,0,26,28,1845
splacona_cz,600,58,M,11,1510,0,159,48,3
windykacja,700,25,M,12,2300,0,14,27,1845
splacona_cz,200,66,K,13,910,0,63,48,1
splacona_cz,200,24,M,12,1000,0,5,26,0
splacona_cz,400,25,K,17,1200,0,158,48,0
splacona_cz,500,80,K,13,2000,0,228,48,9
splacona_cz,400,52,K,12,1040,0,11,20,2
splacona_cz,200,57,M,13,440,0,64,48,1
splacona,400,60,K,13,1351,0,72,48,3
splacona_cz,300,62,K,13,1130,0,96,48,0
splacona_cz,600,54,K,12,1675,0,2,13,4
windykacja,300,36,M,98,1870,0,4,48,1843
splacona_cz,400,54,K,12,1700,0,48,48,0
splacona_cz,200,78,K,13,736,0,60,48,0
splacona_cz,300,60,K,13,790,0,62,48,2
splacona_cz,1500,48,M,11,2353,0,92,48,3
splacona,400,52,M,11,3200,0,182,48,0
splacona,300,57,K,16,1400,0,23,48,212
splacona_cz,400,68,K,13,1017,0,154,48,0
splacona_cz,200,52,K,12,1000,0,24,48,0
splacona,500,76,M,13,1900,0,168,48,6
splacona_cz,500,55,K,13,841.17,0,12,48,0
splacona_cz,800,28,M,12,1800,0,20,24,10
windykacja,500,22,K,11,1600,0,1,48,1841
splacona_cz,300,50,K,12,1000,0,25,31,0
splacona_cz,600,51,K,11,3200,0,47,48,1
splacona_cz,500,76,K,13,1377.23,0,250,48,25
splacona_cz,200,31,K,12,980,0,3,7,1
splacona_cz,400,42,M,11,3500,0,21,48,0
windykacja,400,74,M,13,905.48,0,20,48,1840
splacona,300,65,M,12,1100,0,15,37,13
odmowa,200,44,M,17,498.6,0,13,27,0
splacona_cz,800,74,M,13,2712,0,336,48,1
splacona_cz,500,51,M,12,2673.17,0,105,48,0
splacona_cz,700,48,K,12,1500,0,7,28,8
windykacja_sp,600,50,M,11,1800,0,4,48,582
splacona_cz,600,61,K,13,1050,0,132,48,0
splacona_cz,200,70,K,13,729.03,0,250,48,0
splacona_cz,300,59,K,13,1400,0,47,48,0
splacona,400,29,M,17,1367.55,0,134,48,234
windykacja_sp,300,21,M,12,789,0,19,26,460
odmowa,200,55,M,13,1913.65,0,94,48,0
splacona_cz,800,38,M,11,2150,0,47,48,0
splacona_cz,300,59,M,16,726,0,226,48,0
splacona_cz,600,61,M,13,1500,0,16,48,0
splacona,500,43,M,11,3050,0,249,48,174
splacona,500,57,M,11,1500,0,261,48,236
splacona_cz,800,59,K,13,1370,0,69,48,0
splacona_cz,200,40,K,17,485,0,120,48,4
splacona_cz,300,31,K,12,2000,0,13,22,0
splacona_cz,400,58,K,11,1400,0,156,48,0
splacona_cz,200,65,K,16,892,0,194,48,0
windykacja,400,36,K,12,1500,0,14,26,1839
splacona_cz,350,21,M,12,952.89,0,16,27,4
splacona,500,30,M,12,2547,0,10,11,0
odmowa,400,63,K,13,900,0,156,48,0
splacona,500,24,M,11,2327.94,0,28,48,0
splacona_cz,300,30,M,11,1000,0,50,48,0
splacona,744,35,M,11,2684,0,97,48,229
splacona_cz,800,62,K,13,3700,0,20,48,5
splacona_cz,400,72,K,13,3541.9,0,120,48,13
splacona,200,68,K,13,1139.9,0,250,48,6
splacona_cz,400,53,K,11,1300,0,27,48,11
splacona,600,29,M,12,1800,0,1,3,0
odmowa,500,58,M,11,1400,0,10,48,0
odmowa,400,27,K,12,1400,0,2,8,0
splacona_cz,300,56,K,11,1600,0,371,48,13
splacona_cz,500,57,K,11,2249.14,0,234,48,6
splacona,500,27,M,12,1000,0,9,43,170
splacona,500,36,M,11,2500,0,148,48,3
splacona_cz,700,58,K,13,1801.41,0,31,48,2
splacona_cz,400,68,M,13,1162.41,0,97,48,0
splacona_cz,200,47,M,12,600,0,2,4,0
splacona_cz,300,54,K,11,1721.7,0,113,48,0
splacona,200,62,M,16,779.67,0,58,48,496
splacona_cz,600,54,K,11,1300,0,61,48,9
splacona_cz,200,79,K,13,1442.43,0,134,48,0
splacona,200,74,K,16,822,0,96,48,421
splacona,700,30,M,12,2700,0,57,48,0
splacona_cz,1500,57,M,98,3000,0,62,48,2
splacona,300,29,M,11,1860,0,24,48,229
splacona_cz,500,56,M,12,1410,0,8,36,0
splacona_cz,700,56,K,13,580,0,112,48,0
splacona_cz,400,61,K,13,2066,0,122,48,0
splacona_cz,600,47,K,98,2200,0,18,48,0
splacona,200,43,M,13,936,0,76,48,68
splacona_cz,817.84,63,K,13,860,0,73,48,1
splacona_cz,300,60,K,13,1026,0,48,48,0
windykacja,500,32,K,13,336,0,110,48,1833
splacona_cz,800,61,K,13,1820,0,62,48,0
splacona_cz,200,60,K,13,1635,0,113,48,0
splacona_cz,300,24,K,17,640,0,3,10,7
splacona_cz,300,59,K,13,1658,0,22,48,0
splacona_cz,600,42,M,11,1700,0,245,48,0
splacona,400,61,K,13,1052,0,66,48,383
splacona_cz,300,50,K,98,570,0,21,48,5
splacona_cz,400,40,K,12,660,0,5,39,7
splacona_cz,200,45,M,12,670,0,2,13,0
splacona_cz,500,46,M,12,2500,0,2,3,0
splacona,300,67,M,13,1170,0,72,48,14
splacona_cz,200,57,M,13,12220,0,64,48,0
splacona_cz,600,56,M,11,3335,0,426,48,0
splacona_cz,200,50,M,16,1045,0,192,48,4
splacona,200,62,K,13,1065,0,15,48,0
splacona_cz,400,71,K,13,1668,0,190,48,0
splacona_cz,500,60,K,13,1100,0,15,48,9
windykacja_sp,500,28,M,12,1900,0,5,21,104
splacona,200,33,M,12,1000,0,15,38,318
splacona_cz,400,68,K,16,980,0,124,48,0
splacona_cz,953.23,36,K,11,1900,0,172,48,11
splacona_cz,250,69,K,13,1800,0,110,48,0
splacona,622.23,46,K,12,1669,0,30,48,353
splacona_cz,500,62,K,13,962,0,59,48,2
splacona_cz,600,47,M,11,2500,0,198,48,3
splacona_cz,400,62,K,13,1900,0,82,48,0
splacona,200,56,M,16,889,0,234,48,416
splacona_cz,800,55,K,16,2300,0,57,48,2
splacona_cz,400,54,K,11,2800,0,54,48,2
splacona,500,22,M,12,1800,0,11,13,8
splacona_cz,800,60,K,11,2670,0,82,48,8
splacona_cz,400,39,K,11,1200,0,7,48,0
splacona_cz,300,63,K,13,1100,0,99,48,0
splacona,400,71,K,13,1667,0,150,48,0
splacona_cz,300,56,K,11,1187.06,0,127,48,0
splacona,200,65,M,13,1611,0,135,48,0
odmowa,200,54,M,12,1032.34,0,1,8,0
